timestamp,Input throttle (%),Actual throttle (%),Volts (V),Aux volts (V),Amps (A),Amp hours (Ah),Motor speed (RPM),Speed (m/s),Distance (m),Temp1 (C),Temp2 (C),Gear ratio,Gear,Ideal gear,Efficiency (Wh/km),Steering angle (deg),Brake,Fan status,Fan duty (%),Latitude (deg),Longitude (deg),Altitude (m),Bearing (deg),SpeedGPS (m/s),GPSTime,GPSAccuracy (m),Lap,Vehicle name,Mode,Bluetooth,SFLBearing (deg),ObserverBearing (deg),Slope (deg),PerformanceMetric,Mangled data
1623838556250,0,0,23.36,0.00,0.00,0.00,0,0.0,0.000,14.6,17.2,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838554000.0,3.9,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838556504,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,14.6,21.4,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838554000.0,3.9,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838556762,20,0,23.48,0.00,0.00,0.00,0,0.0,0.000,14.6,21.4,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838554000.0,3.9,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838557015,0,0,23.42,0.00,0.00,0.00,0,0.0,0.000,14.6,21.4,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838556000.0,3.8,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838557267,0,0,23.42,0.00,0.00,0.00,0,0.0,0.000,53.8,21.4,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838556000.0,3.8,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838557519,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,53.8,21.6,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838556000.0,3.8,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838557775,0,0,23.48,0.00,0.00,0.00,0,0.0,0.000,53.8,21.6,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838556000.0,3.8,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838558028,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,53.8,21.6,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838556000.0,3.8,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838558283,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,53.6,21.6,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838556000.0,3.8,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838558535,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,53.6,21.3,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838556000.0,3.8,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838558788,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,53.6,21.3,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838556000.0,3.8,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838559039,0,0,23.48,0.00,0.00,0.00,0,0.0,0.000,53.6,21.3,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838558000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838559291,0,0,23.48,0.00,0.00,0.00,0,0.0,0.000,53.8,21.3,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838558000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838559543,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,53.8,21.4,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838558000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838559795,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,53.8,21.4,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838558000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838560047,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,53.8,21.4,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838558000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838560304,0,0,23.42,0.00,0.00,0.00,0,0.0,0.000,53.8,21.4,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838558000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838560557,0,0,23.48,0.00,0.00,0.00,0,0.0,0.000,53.8,21.5,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838558000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838560809,0,0,23.48,0.00,0.00,0.00,0,0.0,0.000,53.8,21.5,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838558000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838561063,0,0,23.48,0.00,0.00,0.00,0,0.0,0.000,53.8,21.5,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838560000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838561317,0,0,23.42,0.00,0.00,0.00,0,0.0,0.000,53.6,21.5,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838560000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838561571,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,53.6,21.3,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838560000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
1623838561827,0,0,23.45,0.00,0.00,0.00,0,0.0,0.000,53.6,21.3,0.000,-1,0,NaN,0,0,0,0,50.005335,-5.227026,149.0,90.0,0.0,1623838560000.0,3.3,0,,DEMO,CONNECTED,0,0,NaN,0.0,2
